CURSO_ACADEMICO,LOCALIDAD,ESTUDIO,TIPO_ESTUDIO,TIPO_EGRESO,SEXO,ALUMNOS_GRADUADOS,ALUMNOS_INTERRUMPEN_ESTUDIOS,ALUMNOS_INTERRUMPEN_EST_ANO1,ALUMNOS_TRASLADAN_OTRA_UNIV,DURACION_MEDIA_GRADUADOS,TASA_EFICIENCIA,FECHA_ACTUALIZACION
2021,Huesca,Grado: Enfermería,Grado,Abandono Voluntario,Mujeres,0,1,1,0,,,30/10/2022
2021,Huesca,Grado: Enfermería,Grado,Graduado,Hombres,15,0,0,0,"4,00","99,70",30/10/2022
2021,Huesca,Grado: Enfermería,Grado,Graduado,Mujeres,37,0,0,0,"4,33","96,93",30/10/2022
2021,Huesca,Grado: Gestión y Administración Pública,Grado,Abandono Voluntario,Hombres,0,6,4,0,,,30/10/2022
2021,Huesca,Grado: Gestión y Administración Pública,Grado,Abandono Voluntario,Mujeres,0,12,7,0,,,30/10/2022
2021,Huesca,Grado: Gestión y Administración Pública,Grado,Cambio de estudios sin simultaneidad,Hombres,0,2,2,0,,,30/10/2022
2021,Huesca,Grado: Gestión y Administración Pública,Grado,Graduado,Hombres,3,0,0,0,"4,00","90,62",30/10/2022
2021,Huesca,Grado: Gestión y Administración Pública,Grado,Graduado,Mujeres,7,0,0,0,"5,00","92,97",30/10/2022
2021,Huesca,Grado: Ingeniería Agroalimentaria y del Medio Rural,Grado,Abandono Voluntario,Hombres,0,14,3,0,,,30/10/2022
2021,Huesca,Grado: Ingeniería Agroalimentaria y del Medio Rural,Grado,Abandono Voluntario,Mujeres,0,4,0,0,,,30/10/2022
2021,Huesca,Grado: Ingeniería Agroalimentaria y del Medio Rural,Grado,Graduado,Hombres,4,0,0,0,"5,00","83,15",30/10/2022
2021,Huesca,Grado: Ingeniería Agroalimentaria y del Medio Rural,Grado,Graduado,Mujeres,1,0,0,0,"6,00","70,00",30/10/2022
2021,Huesca,Grado: Magisterio en Educación Infantil,Grado,Abandono Voluntario,Hombres,0,2,1,0,,,30/10/2022
2021,Huesca,Grado: Magisterio en Educación Infantil,Grado,Abandono Voluntario,Mujeres,0,13,6,0,,,30/10/2022
2021,Huesca,Grado: Magisterio en Educación Infantil,Grado,Graduado,Hombres,1,0,0,0,"4,00","97,56",30/10/2022
2021,Huesca,Grado: Magisterio en Educación Infantil,Grado,Graduado,Mujeres,84,0,0,0,"4,39","92,16",30/10/2022
2021,Huesca,Grado: Magisterio en Educación Primaria,Grado,Abandono Voluntario,Hombres,0,12,5,0,,,30/10/2022
2021,Huesca,Grado: Magisterio en Educación Primaria,Grado,Abandono Voluntario,Mujeres,0,2,1,0,,,30/10/2022
2021,Huesca,Grado: Magisterio en Educación Primaria,Grado,Cambio de estudios sin simultaneidad,Hombres,0,1,1,0,,,30/10/2022
2021,Huesca,Grado: Magisterio en Educación Primaria,Grado,Cambio de estudios sin simultaneidad,Mujeres,0,1,1,0,,,30/10/2022
2021,Huesca,Grado: Magisterio en Educación Primaria,Grado,Graduado,Hombres,31,0,0,0,"4,50","90,75",30/10/2022
2021,Huesca,Grado: Magisterio en Educación Primaria,Grado,Graduado,Mujeres,33,0,0,0,"4,11","95,95",30/10/2022
2021,Huesca,Grado: Medicina,Grado,Abandono Voluntario,Hombres,0,2,1,0,,,30/10/2022
2021,Huesca,Grado: Medicina,Grado,Traslado a otra Universidad,Mujeres,0,0,0,1,,,30/10/2022
2021,Huesca,Grado: Nutrición Humana y Dietética,Grado,Abandono Voluntario,Hombres,0,5,4,0,,,30/10/2022
2021,Huesca,Grado: Nutrición Humana y Dietética,Grado,Abandono Voluntario,Mujeres,0,12,6,0,,,30/10/2022
2021,Huesca,Grado: Nutrición Humana y Dietética,Grado,Cambio de estudios sin simultaneidad,Mujeres,0,1,1,0,,,30/10/2022
2021,Huesca,Grado: Nutrición Humana y Dietética,Grado,Graduado,Hombres,10,0,0,0,"5,50","91,19",30/10/2022
2021,Huesca,Grado: Nutrición Humana y Dietética,Grado,Graduado,Mujeres,30,0,0,0,"4,47","94,61",30/10/2022
2021,Huesca,Grado: Nutrición Humana y Dietética,Grado,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
2021,Huesca,Grado: Odontología,Grado,Abandono Voluntario,Hombres,0,3,2,0,,,30/10/2022
2021,Huesca,Grado: Odontología,Grado,Abandono Voluntario,Mujeres,0,5,3,0,,,30/10/2022
2021,Huesca,Grado: Odontología,Grado,Graduado,Hombres,7,0,0,0,"5,00","94,25",30/10/2022
2021,Huesca,Grado: Odontología,Grado,Graduado,Mujeres,29,0,0,0,"5,08","96,38",30/10/2022
2021,Huesca,Grado: Odontología,Grado,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
2021,Huesca,Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte,Grado,Incumple Régimen de permanencia,Hombres,0,1,1,0,,,30/10/2022
2021,Huesca,Máster: Dirección y planificación del turismo,Máster,Abandono Voluntario,Hombres,0,1,0,0,,,30/10/2022
2021,Huesca,Máster: Dirección y planificación del turismo,Máster,Abandono Voluntario,Mujeres,0,4,1,0,,,30/10/2022
2021,Huesca,Máster: Dirección y planificación del turismo,Máster,Graduado,Hombres,2,0,0,0,"2,00","86,96",30/10/2022
2021,Huesca,Máster: Dirección y planificación del turismo,Máster,Graduado,Mujeres,5,0,0,0,"2,40","80,00",30/10/2022
2021,Huesca,"Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías",Máster,Graduado,Hombres,1,0,0,0,"1,00","100,00",30/10/2022
2021,Huesca,"Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías",Máster,Graduado,Mujeres,5,0,0,0,"1,80","85,88",30/10/2022
2021,Huesca,Máster: Evaluación y Entrenamiento Físico para la Salud,Máster,Abandono Voluntario,Hombres,0,2,2,0,,,30/10/2022
